claim_id,customer_id,policy_type,premium_amount,claim_amount,incident_type,incident_severity,claim_date,settlement_days,region,policy_tenure_years,customer_age,fraud_reported,claim_status
CL200027,CU300027,Home,1840.42,11736.53,Fire,Major,2024-10-31,38,ON,13,59,0,Approved
CL200028,CU300028,Life,1886.96,9001.29,Fire,Moderate,2024-06-29,8,AB,7,38,0,Approved
CL200029,CU300029,Auto,1695.44,5576.4,Injury,Moderate,2024-05-13,26,QC,14,22,0,Rejected
CL200030,CU300030,Auto,1260.81,3107.95,Collision,Minor,2025-03-25,18,AB,7,61,0,Approved
CL200031,CU300031,Auto,1112.23,2072.04,Injury,Moderate,2025-12-01,14,AB,12,68,0,Approved
CL200032,CU300032,Health,1442.92,2241.94,Collision,Minor,2024-10-03,12,AB,9,60,0,Pending
CL200033,CU300033,Auto,1446.9,3311.98,Injury,Minor,2025-04-21,23,BC,8,57,0,Pending
CL200034,CU300034,Auto,1915.06,7010.06,Fire,Moderate,2024-08-13,14,ON,8,61,0,Approved
CL200035,CU300035,Auto,1248.52,2918.69,Injury,Minor,2024-10-17,21,QC,4,35,0,Approved
CL200036,CU300036,Home,1283.41,1868.65,Fire,Minor,2024-10-25,25,ON,12,25,1,Approved
CL200037,CU300037,Home,2313.1,2743.39,Weather,Minor,2024-09-19,27,ON,8,56,0,Approved
CL200038,CU300038,Auto,2101.51,2502.63,Water Damage,Minor,2025-09-10,29,ON,1,74,0,Approved
CL200039,CU300039,Auto,1079.23,19226.4,Theft,Major,2025-10-24,32,ON,6,27,0,Approved
CL200040,CU300040,Health,2066.88,50271.95,Collision,Total Loss,2024-07-15,22,MB,7,23,0,Approved
CL200041,CU300041,Auto,978.81,3413.21,Collision,Minor,2024-09-20,25,QC,14,60,0,Approved
CL200042,CU300042,Health,1267.7,3054.4,Weather,Minor,2024-01-15,27,MB,7,43,0,Approved
CL200043,CU300043,Auto,1315.5,22055.28,Weather,Major,2025-07-06,29,MB,9,72,0,Approved
CL200044,CU300044,Life,1417.41,1863.59,Weather,Minor,2025-05-31,18,MB,2,46,0,Approved
CL200045,CU300045,Auto,1710.3,15625.01,Collision,Major,2025-09-01,53,ON,6,49,0,Approved
CL200046,CU300046,Home,1494.72,1427.19,Collision,Minor,2025-02-12,9,ON,5,22,0,Approved
CL200047,CU300047,Auto,1708.19,4511.61,Water Damage,Moderate,2025-10-26,25,QC,8,75,0,Pending
CL200048,CU300048,Auto,1281.23,1879.43,Injury,Minor,2024-04-12,30,BC,14,38,0,Approved
CL200049,CU300049,Health,1607.17,17853.21,Collision,Major,2024-09-29,28,ON,15,44,0,Pending
CL200050,CU300050,Home,1483.17,4598.98,Collision,Moderate,2024-11-22,19,SK,5,56,0,Rejected
CL200051,CU300051,Health,866.9,2472.58,Collision,Minor,2025-07-12,17,ON,10,69,0,Approved
CL200052,CU300052,Home,1652.86,6698.1,Injury,Moderate,2024-06-09,21,AB,15,65,0,Pending
CL200053,CU300053,Home,1490.34,4776.91,Injury,Moderate,2024-08-26,29,ON,4,64,0,Approved
CL200054,CU300054,Health,1150.16,45669.26,Weather,Total Loss,2024-03-09,29,AB,7,25,0,Approved
CL200055,CU300055,Auto,1271.57,4403.93,Weather,Moderate,2025-11-20,49,ON,8,24,0,Approved
CL200056,CU300056,Health,1281.87,3282.13,Injury,Minor,2024-11-26,17,ON,1,68,0,Approved
CL200057,CU300057,Auto,1347.13,2581.62,Theft,Moderate,2024-01-09,33,ON,7,72,0,Approved
CL200058,CU300058,Auto,2188.76,2400.44,Theft,Minor,2024-06-20,26,ON,2,55,0,Rejected
CL200059,CU300059,Health,2327.91,11963.97,Theft,Major,2025-02-20,32,AB,5,72,0,Approved
CL200060,CU300060,Auto,450.0,14701.55,Water Damage,Major,2024-12-24,44,ON,2,37,0,Pending
CL200061,CU300061,Auto,1655.03,3767.11,Fire,Minor,2025-01-07,7,AB,12,39,0,Rejected
CL200062,CU300062,Auto,1851.08,6319.94,Fire,Moderate,2024-02-15,25,ON,13,29,0,Pending
CL200063,CU300063,Home,1359.25,4835.08,Injury,Moderate,2025-10-02,15,ON,5,65,0,Approved
CL200064,CU300064,Home,1839.8,2841.35,Collision,Minor,2025-08-28,17,AB,1,58,0,Approved
CL200065,CU300065,Auto,2144.75,6302.74,Theft,Moderate,2024-06-06,17,SK,8,32,0,Approved
CL200066,CU300066,Auto,873.83,7295.4,Weather,Moderate,2024-09-24,12,ON,2,77,0,Approved
CL200067,CU300067,Auto,1506.18,5207.67,Water Damage,Moderate,2024-03-04,6,BC,7,20,0,Approved
CL200068,CU300068,Auto,2271.83,5304.18,Collision,Moderate,2024-04-03,24,ON,9,64,0,Approved
CL200069,CU300069,Auto,930.14,5456.15,Theft,Moderate,2025-09-09,20,AB,8,31,0,Rejected
CL200070,CU300070,Auto,1401.6,8564.93,Water Damage,Moderate,2024-03-23,18,AB,8,65,0,Approved
CL200071,CU300071,Health,1261.67,6555.41,Injury,Moderate,2024-09-12,28,SK,9,47,0,Approved
CL200072,CU300072,Health,1891.79,4945.41,Weather,Moderate,2025-12-26,25,QC,3,32,0,Approved
CL200073,CU300073,Auto,1950.32,7317.17,Collision,Moderate,2024-08-25,19,QC,11,22,0,Approved
CL200074,CU300074,Auto,1518.18,7155.78,Collision,Moderate,2025-05-16,48,ON,11,55,0,Rejected
CL200075,CU300075,Auto,1463.53,2901.52,Theft,Minor,2024-03-17,30,MB,3,28,0,Pending
CL200076,CU300076,Auto,727.96,6055.67,Collision,Moderate,2025-09-29,43,MB,7,45,0,Approved
CL200077,CU300077,Auto,2047.66,6847.96,Injury,Moderate,2025-11-02,17,AB,5,75,0,Approved
CL200078,CU300078,Life,1301.67,2795.18,Injury,Minor,2025-10-28,23,BC,6,71,0,Pending
CL200079,CU300079,Health,1390.22,1793.45,Injury,Minor,2025-04-07,10,ON,12,48,0,Approved
CL200080,CU300080,Home,1858.07,8737.0,Collision,Moderate,2025-12-10,18,ON,9,62,0,Approved
CL200081,CU300081,Auto,1532.99,2511.51,Collision,Minor,2025-05-20,16,ON,14,67,0,Approved
CL200082,CU300082,Home,1871.61,4842.01,Injury,Moderate,2024-10-01,48,BC,9,54,0,Approved
CL200083,CU300083,Life,1703.43,4827.49,Collision,Moderate,2025-10-17,15,QC,1,31,0,Rejected
CL200084,CU300084,Auto,1535.59,6805.18,Collision,Moderate,2024-07-18,19,AB,11,66,0,Approved
CL200085,CU300085,Health,1580.39,27069.98,Theft,Total Loss,2025-09-08,18,QC,2,24,0,Approved
CL200086,CU300086,Auto,978.44,21803.22,Collision,Major,2025-11-10,36,ON,6,49,0,Rejected
CL200087,CU300087,Health,1387.43,29430.7,Collision,Total Loss,2024-11-25,23,AB,15,65,0,Approved
CL200088,CU300088,Auto,1905.3,34715.3,Collision,Total Loss,2024-06-18,39,MB,15,52,0,Approved
CL200089,CU300089,Home,1072.57,1905.97,Injury,Minor,2024-04-26,5,ON,3,39,0,Approved
CL200090,CU300090,Auto,1149.58,2483.9,Collision,Minor,2025-01-27,20,QC,15,43,0,Rejected
CL200091,CU300091,Home,1080.56,3420.88,Weather,Minor,2025-05-05,4,MB,15,46,0,Rejected
CL200092,CU300092,Home,1514.42,2396.31,Weather,Minor,2025-03-06,17,AB,14,62,0,Approved
CL200093,CU300093,Home,2039.06,15213.06,Fire,Major,2025-04-20,28,BC,13,77,0,Pending
CL200094,CU300094,Health,1679.81,13646.42,Fire,Major,2024-01-19,26,AB,2,64,0,Pending
CL200095,CU300095,Auto,535.68,6963.21,Collision,Moderate,2024-02-04,16,AB,2,37,0,Approved
CL200096,CU300096,Health,1722.42,25102.95,Collision,Major,2024-07-11,40,SK,10,25,0,Approved
CL200097,CU300097,Auto,1264.32,4327.35,Fire,Moderate,2025-10-18,41,QC,2,46,0,Pending
CL200098,CU300098,Health,1663.94,6902.16,Water Damage,Moderate,2025-01-02,24,ON,4,69,0,Approved
CL200099,CU300099,Auto,1387.21,1300.29,Theft,Minor,2024-09-01,13,QC,15,56,0,Approved
CL200100,CU300100,Home,1088.61,28322.62,Fire,Total Loss,2025-04-30,32,SK,14,37,0,Approved
CL200101,CU300101,Auto,1419.98,7515.03,Water Damage,Moderate,2024-11-09,18,BC,4,24,0,Approved
CL200102,CU300102,Life,1264.58,3902.46,Injury,Moderate,2024-04-14,29,AB,9,33,0,Approved
CL200103,CU300103,Home,1579.24,2188.63,Injury,Minor,2025-01-10,24,MB,9,61,0,Approved
CL200104,CU300104,Auto,1077.88,19464.22,Fire,Major,2025-05-24,17,QC,4,58,0,Approved
CL200105,CU300105,Health,977.6,18660.94,Water Damage,Major,2025-10-27,41,AB,4,45,0,Rejected
CL200106,CU300106,Auto,1757.47,7664.36,Weather,Moderate,2024-09-25,30,ON,7,38,0,Approved
CL200107,CU300107,Auto,1915.71,23267.61,Weather,Total Loss,2024-05-04,44,AB,10,29,0,Approved
CL200108,CU300108,Auto,1693.62,7568.61,Injury,Moderate,2025-09-23,16,ON,13,76,0,Approved
CL200109,CU300109,Health,1177.52,26623.93,Theft,Total Loss,2024-09-26,34,ON,13,44,0,Approved
CL200110,CU300110,Life,1139.17,8399.5,Water Damage,Moderate,2024-04-25,10,BC,1,64,0,Pending
CL200111,CU300111,Life,1163.35,6354.32,Water Damage,Major,2024-12-31,31,QC,10,46,0,Approved
CL200112,CU300112,Auto,1823.97,16540.37,Weather,Major,2024-02-13,35,ON,10,52,0,Approved
CL200113,CU300113,Auto,1103.48,18498.34,Collision,Major,2025-12-25,25,QC,1,56,0,Approved
CL200114,CU300114,Health,1821.3,3444.6,Injury,Minor,2025-07-23,24,ON,13,39,0,Pending
CL200115,CU300115,Auto,1717.5,18437.46,Theft,Major,2024-11-17,33,ON,9,74,0,Pending
CL200116,CU300116,Home,1969.85,7369.04,Weather,Moderate,2025-02-02,17,BC,11,45,0,Approved
CL200117,CU300117,Life,1896.52,2762.84,Collision,Minor,2024-10-17,34,BC,10,64,0,Pending
CL200118,CU300118,Auto,1677.92,9456.05,Injury,Moderate,2024-12-08,19,QC,6,73,0,Pending
CL200119,CU300119,Auto,833.15,6251.49,Water Damage,Moderate,2025-11-13,22,ON,4,41,0,Rejected
CL200120,CU300120,Health,1706.25,4249.92,Collision,Moderate,2025-06-14,8,BC,6,32,0,Rejected
CL200121,CU300121,Home,1498.5,3874.69,Injury,Moderate,2025-04-27,26,SK,12,76,0,Pending
CL200122,CU300122,Life,1293.23,2964.94,Injury,Minor,2025-12-14,17,QC,10,65,0,Approved
CL200123,CU300123,Home,2022.13,2656.24,Collision,Minor,2024-04-29,30,AB,10,65,0,Approved
CL200124,CU300124,Auto,1386.44,16708.03,Collision,Major,2025-10-25,19,AB,2,74,0,Pending
CL200125,CU300125,Health,1227.63,2089.73,Theft,Minor,2024-05-08,25,ON,1,20,0,Rejected
CL200126,CU300126,Health,1922.1,7354.43,Injury,Moderate,2024-07-08,2,AB,11,74,0,Approved
CL200127,CU300127,Life,1279.86,7411.06,Fire,Moderate,2025-04-15,27,SK,15,25,0,Approved
CL200128,CU300128,Home,1206.61,2835.88,Collision,Minor,2024-04-09,19,ON,6,27,0,Approved
CL200129,CU300129,Home,976.6,1723.93,Collision,Minor,2024-12-06,25,AB,7,31,0,Approved
CL200130,CU300130,Auto,1105.53,3541.96,Fire,Moderate,2024-09-02,16,ON,15,25,0,Approved
CL200131,CU300131,Auto,1141.56,13395.82,Collision,Major,2024-01-07,22,BC,4,23,0,Approved
CL200132,CU300132,Life,1710.84,19893.89,Weather,Total Loss,2024-05-14,27,ON,8,26,0,Pending
CL200133,CU300133,Life,1021.99,4250.27,Collision,Moderate,2024-11-23,23,BC,2,47,0,Approved
CL200134,CU300134,Home,669.71,3598.82,Injury,Minor,2024-03-02,26,MB,4,40,0,Approved
CL200135,CU300135,Life,1577.36,2556.68,Injury,Moderate,2025-11-16,24,QC,6,39,0,Approved
CL200136,CU300136,Auto,1183.74,7920.62,Injury,Moderate,2024-11-09,13,MB,11,29,0,Pending
CL200137,CU300137,Health,1443.17,8777.72,Collision,Moderate,2025-06-29,38,BC,5,76,0,Approved
CL200138,CU300138,Home,1988.61,8935.43,Weather,Moderate,2024-05-29,24,ON,7,38,0,Approved
CL200139,CU300139,Health,1480.05,7543.37,Injury,Moderate,2025-02-11,15,QC,5,46,0,Approved
CL200140,CU300140,Health,2084.04,3423.94,Fire,Minor,2024-03-23,25,ON,3,27,0,Pending
CL200141,CU300141,Home,1421.38,26988.33,Collision,Major,2024-05-22,33,ON,12,31,0,Approved
CL200142,CU300142,Health,1872.92,6407.63,Collision,Moderate,2025-05-14,19,SK,11,32,0,Approved
CL200143,CU300143,Auto,1220.08,2813.23,Weather,Minor,2024-09-02,18,QC,10,76,0,Rejected
CL200144,CU300144,Health,1495.23,24430.0,Fire,Major,2025-12-18,40,MB,9,29,0,Approved
CL200145,CU300145,Auto,1058.15,5310.56,Water Damage,Moderate,2025-12-28,37,ON,2,49,0,Approved
CL200146,CU300146,Auto,1108.04,2328.56,Injury,Minor,2024-04-06,3,ON,8,51,0,Rejected
CL200147,CU300147,Health,1355.64,2061.92,Injury,Minor,2025-04-26,32,ON,11,23,0,Pending
CL200148,CU300148,Health,892.02,7903.52,Water Damage,Moderate,2025-07-25,21,ON,8,39,0,Approved
CL200149,CU300149,Life,1516.93,3279.73,Injury,Moderate,2024-07-20,23,AB,11,23,0,Pending
CL200150,CU300150,Auto,1322.84,9815.79,Collision,Moderate,2025-09-06,33,MB,5,29,0,Approved
CL200151,CU300151,Auto,1548.52,2873.66,Collision,Minor,2025-06-22,2,ON,8,58,0,Pending
CL200152,CU300152,Home,898.46,2912.96,Injury,Minor,2024-08-24,28,ON,6,52,0,Approved
CL200153,CU300153,Health,1744.73,2367.9,Theft,Moderate,2024-03-07,33,MB,15,48,0,Approved
CL200154,CU300154,Life,2163.0,4961.33,Water Damage,Moderate,2024-11-19,15,QC,3,31,0,Rejected
CL200155,CU300155,Health,2074.34,9921.32,Collision,Moderate,2024-09-27,8,BC,5,55,0,Pending
CL200156,CU300156,Home,2249.64,6652.28,Collision,Moderate,2025-01-20,36,ON,11,72,0,Approved
CL200157,CU300157,Health,1467.82,9310.72,Injury,Major,2024-06-16,15,ON,1,69,1,Pending
CL200158,CU300158,Auto,1302.02,7434.38,Injury,Moderate,2024-08-15,25,BC,8,29,0,Pending
CL200159,CU300159,Life,1654.79,8331.15,Injury,Moderate,2025-10-16,30,AB,1,59,0,Approved
CL200160,CU300160,Home,1349.95,8041.73,Collision,Moderate,2025-09-06,25,ON,8,33,0,Approved
CL200161,CU300161,Auto,719.02,2394.72,Theft,Minor,2025-06-20,26,QC,5,69,0,Approved
CL200162,CU300162,Home,1794.11,9225.7,Weather,Moderate,2024-09-14,19,SK,3,46,0,Rejected
CL200163,CU300163,Health,1351.55,2008.59,Water Damage,Minor,2024-12-29,25,ON,8,62,0,Approved
CL200164,CU300164,Auto,833.71,8058.57,Collision,Moderate,2024-08-01,15,ON,5,50,0,Approved
CL200165,CU300165,Auto,1236.52,7264.63,Weather,Moderate,2024-10-24,16,AB,2,58,0,Approved
CL200166,CU300166,Health,1361.1,6739.15,Collision,Moderate,2025-01-12,21,SK,8,74,0,Approved
CL200167,CU300167,Life,1454.97,16089.86,Injury,Major,2025-09-18,17,MB,9,26,0,Approved
CL200168,CU300168,Home,1460.01,6326.56,Collision,Moderate,2025-08-04,26,SK,10,72,0,Approved
CL200169,CU300169,Auto,2024.99,2522.58,Water Damage,Minor,2024-05-22,2,ON,14,47,0,Approved
CL200170,CU300170,Home,908.81,16524.69,Collision,Major,2025-11-21,34,BC,11,27,0,Pending
CL200171,CU300171,Auto,1386.1,8436.82,Injury,Moderate,2024-02-24,25,ON,12,44,0,Approved
CL200172,CU300172,Auto,1080.84,5949.47,Injury,Moderate,2024-02-04,14,ON,10,22,0,Approved
CL200173,CU300173,Auto,1977.59,3597.8,Collision,Minor,2025-09-13,10,ON,11,50,0,Approved
CL200174,CU300174,Home,1214.19,5861.89,Collision,Moderate,2024-07-25,17,AB,12,46,0,Pending
CL200175,CU300175,Auto,1305.59,8803.36,Weather,Moderate,2025-09-17,27,AB,10,42,0,Approved
CL200176,CU300176,Auto,1890.87,22854.61,Weather,Major,2024-02-20,34,ON,8,45,0,Approved
CL200177,CU300177,Auto,2006.41,7325.09,Injury,Moderate,2024-06-26,11,SK,11,55,0,Pending
CL200178,CU300178,Home,2068.5,7150.45,Weather,Moderate,2025-08-25,22,QC,15,67,0,Approved
CL200179,CU300179,Auto,759.89,14326.01,Collision,Major,2024-05-22,33,QC,8,42,0,Approved
CL200180,CU300180,Auto,1652.82,15393.96,Water Damage,Major,2025-01-14,33,BC,4,19,0,Approved
CL200181,CU300181,Home,1563.45,2653.85,Collision,Minor,2025-06-10,12,QC,7,51,0,Pending
CL200182,CU300182,Health,1428.49,6911.53,Weather,Moderate,2024-09-11,22,ON,1,74,0,Approved
CL200183,CU300183,Health,1477.96,3328.16,Water Damage,Minor,2024-04-14,29,AB,5,42,0,Pending
CL200184,CU300184,Home,1990.03,2181.79,Water Damage,Minor,2025-08-31,26,ON,14,26,0,Rejected
CL200185,CU300185,Health,1886.21,16013.92,Collision,Major,2025-03-30,35,AB,2,72,0,Pending
CL200186,CU300186,Health,1826.7,9609.76,Collision,Major,2025-10-27,46,MB,14,43,0,Approved
CL200187,CU300187,Health,1536.9,21243.38,Weather,Major,2025-05-26,33,MB,9,41,0,Pending
CL200188,CU300188,Home,2403.65,8084.31,Theft,Moderate,2025-06-27,13,BC,5,36,0,Approved
CL200189,CU300189,Auto,1281.74,3183.96,Injury,Minor,2025-03-30,13,ON,8,62,0,Approved
CL200190,CU300190,Auto,771.3,3223.41,Fire,Minor,2025-05-04,23,ON,14,27,0,Approved
CL200191,CU300191,Auto,1338.6,3052.26,Collision,Minor,2024-11-07,8,AB,2,55,0,Approved
CL200192,CU300192,Auto,1474.25,8628.99,Theft,Moderate,2025-11-07,18,ON,9,39,0,Rejected
CL200193,CU300193,Life,1997.34,8195.73,Injury,Moderate,2025-08-18,25,QC,5,41,0,Pending
CL200194,CU300194,Auto,1235.39,8497.62,Injury,Moderate,2024-06-25,32,QC,9,31,0,Pending
CL200195,CU300195,Home,1656.32,1210.63,Theft,Minor,2025-11-09,7,AB,12,66,0,Pending
CL200196,CU300196,Life,829.56,1730.15,Collision,Minor,2024-06-19,22,ON,14,45,0,Approved
CL200197,CU300197,Home,1904.2,1615.76,Theft,Minor,2025-05-30,20,AB,4,73,0,Pending
CL200198,CU300198,Auto,1478.69,24401.67,Weather,Major,2025-11-03,31,AB,10,67,0,Approved
CL200199,CU300199,Life,1332.17,1951.93,Injury,Minor,2024-11-01,22,AB,7,63,0,Approved
CL200200,CU300200,Auto,2345.29,2064.0,Injury,Minor,2024-05-15,21,AB,8,45,0,Approved
CL200201,CU300201,Auto,1899.36,7013.05,Water Damage,Moderate,2025-12-27,34,BC,3,74,0,Pending
CL200202,CU300202,Auto,1013.27,1629.42,Fire,Minor,2025-08-02,32,ON,13,53,0,Pending
CL200203,CU300203,Auto,1404.06,7745.87,Water Damage,Moderate,2024-11-24,40,QC,3,44,0,Rejected
CL200204,CU300204,Health,2599.25,7262.83,Collision,Major,2025-12-24,31,BC,1,39,0,Pending
CL200205,CU300205,Auto,2281.1,1675.76,Fire,Minor,2024-03-25,17,AB,12,72,0,Approved
CL200206,CU300206,Health,1837.64,2639.17,Fire,Minor,2025-01-19,12,SK,7,33,0,Approved
CL200207,CU300207,Auto,674.24,1630.85,Injury,Minor,2024-05-13,16,MB,2,70,0,Approved
CL200208,CU300208,Life,2009.5,3409.38,Injury,Minor,2024-05-14,27,AB,11,32,0,Approved
CL200209,CU300209,Auto,1183.22,18233.25,Collision,Major,2024-09-10,39,ON,5,63,0,Approved
CL200210,CU300210,Life,2005.88,9218.86,Water Damage,Moderate,2025-02-23,27,AB,15,35,0,Approved
CL200211,CU300211,Auto,1146.48,7701.52,Water Damage,Moderate,2024-05-04,15,SK,15,68,0,Approved
CL200212,CU300212,Health,1655.31,6976.62,Water Damage,Moderate,2025-01-14,15,ON,9,68,0,Pending
CL200213,CU300213,Health,1181.08,1802.41,Theft,Minor,2025-07-22,39,AB,8,62,0,Approved
CL200214,CU300214,Home,1297.42,8821.13,Water Damage,Moderate,2024-04-17,14,QC,7,77,0,Approved
CL200215,CU300215,Auto,1711.32,2808.88,Injury,Minor,2024-01-11,34,QC,10,49,0,Approved
CL200216,CU300216,Home,896.06,28506.63,Weather,Major,2025-06-29,35,BC,14,68,0,Approved
CL200217,CU300217,Home,2446.42,22175.14,Theft,Major,2024-10-23,24,BC,10,51,0,Pending
CL200218,CU300218,Home,1018.57,2221.82,Injury,Minor,2024-05-18,10,ON,2,21,0,Approved
CL200219,CU300219,Home,995.08,19458.68,Injury,Major,2025-10-03,25,BC,3,43,0,Pending
CL200220,CU300220,Life,1712.56,2795.5,Weather,Minor,2024-11-07,25,BC,10,20,0,Approved
CL200221,CU300221,Life,1992.62,3314.07,Water Damage,Minor,2024-03-26,13,QC,6,58,0,Approved
CL200222,CU300222,Home,1314.04,3425.31,Collision,Minor,2024-08-13,35,QC,8,27,0,Pending
CL200223,CU300223,Auto,999.98,2386.62,Weather,Minor,2025-02-24,19,QC,7,38,0,Pending
CL200224,CU300224,Auto,1062.6,1649.14,Theft,Minor,2024-07-31,27,QC,9,70,0,Approved
CL200225,CU300225,Health,1017.39,8656.65,Theft,Major,2025-11-12,37,ON,4,62,0,Approved
CL200226,CU300226,Life,1579.44,1702.32,Theft,Minor,2025-04-02,36,ON,2,38,0,Approved
CL200227,CU300227,Auto,1420.61,5840.12,Theft,Moderate,2024-02-22,17,QC,4,48,0,Approved
CL200228,CU300228,Auto,1628.85,3553.03,Theft,Minor,2024-09-10,22,AB,11,53,0,Approved
CL200229,CU300229,Auto,1603.25,3563.65,Collision,Minor,2024-09-12,8,AB,10,39,0,Approved
CL200230,CU300230,Auto,1796.21,3172.11,Collision,Minor,2024-04-16,22,AB,13,63,0,Rejected
CL200231,CU300231,Life,1277.82,3361.28,Injury,Minor,2024-01-28,31,QC,2,27,0,Approved
CL200232,CU300232,Health,1139.95,2004.83,Collision,Minor,2024-03-22,23,ON,3,44,0,Pending
CL200233,CU300233,Auto,1515.64,1439.28,Collision,Minor,2025-05-13,42,ON,2,34,0,Approved
CL200234,CU300234,Auto,1426.9,1795.43,Collision,Minor,2024-06-30,26,ON,9,59,0,Approved
CL200235,CU300235,Auto,1556.24,3011.76,Collision,Moderate,2024-10-31,16,MB,9,56,0,Pending
CL200236,CU300236,Home,1151.08,22018.96,Collision,Total Loss,2024-04-14,35,AB,3,66,0,Approved
CL200237,CU300237,Health,1719.73,2145.84,Water Damage,Minor,2025-11-22,8,ON,7,40,0,Approved
CL200238,CU300238,Auto,955.08,7326.74,Weather,Moderate,2025-12-21,14,QC,1,32,0,Approved
CL200239,CU300239,Auto,1265.04,7265.5,Theft,Moderate,2025-05-19,10,ON,10,20,0,Approved
CL200240,CU300240,Life,1924.2,5648.31,Fire,Moderate,2024-08-30,21,ON,9,69,0,Approved
CL200241,CU300241,Health,974.85,8115.14,Collision,Moderate,2025-03-15,20,BC,1,38,0,Approved
CL200242,CU300242,Home,1891.1,5685.94,Injury,Moderate,2024-10-08,32,SK,2,63,0,Approved
CL200243,CU300243,Home,858.18,18050.63,Water Damage,Major,2025-10-26,30,ON,11,40,0,Approved
CL200244,CU300244,Life,784.21,1723.01,Collision,Minor,2025-03-17,12,MB,14,38,0,Approved
CL200245,CU300245,Health,822.58,9133.79,Collision,Moderate,2024-04-04,35,QC,13,32,0,Approved
CL200246,CU300246,Life,1499.06,7040.84,Weather,Moderate,2024-03-11,2,MB,9,65,0,Approved
CL200247,CU300247,Auto,1756.43,21421.28,Collision,Major,2025-07-25,31,AB,8,35,0,Approved
CL200248,CU300248,Auto,1992.89,4616.26,Collision,Moderate,2025-06-15,23,ON,13,36,0,Approved
CL200249,CU300249,Auto,1959.41,33562.84,Weather,Total Loss,2025-06-16,31,BC,13,60,0,Approved
CL200250,CU300250,Health,1812.33,8121.77,Weather,Moderate,2024-08-31,26,BC,14,49,0,Rejected
CL200251,CU300251,Health,1100.65,2994.02,Collision,Moderate,2025-05-06,22,BC,6,63,0,Rejected
CL200252,CU300252,Auto,1096.99,23887.21,Injury,Major,2024-07-16,35,ON,8,25,0,Pending
CL200253,CU300253,Life,1780.87,11702.9,Collision,Major,2025-04-10,26,ON,2,75,0,Approved
CL200254,CU300254,Life,2046.95,7413.36,Theft,Moderate,2024-08-27,8,ON,3,32,0,Approved
CL200255,CU300255,Auto,1016.92,27010.02,Injury,Major,2024-03-31,31,BC,6,25,0,Approved
