customer_id,age,annual_income,loan_amount,interest_rate,credit_score,dti_ratio,utilization_rate,employment_length_years,grade,purpose,home_ownership,region,loan_status,default_flag
C100020,28,57505,19510,9.93,683,14.2,66.7,9,D,debt_consolidation,MORTGAGE,Ontario,Charged Off,1
C100021,28,120013,17707,5.91,733,27.0,43.0,6,B,debt_consolidation,MORTGAGE,Ontario,Current,0
C100022,61,54829,21017,19.57,598,22.6,58.6,11,G,debt_consolidation,RENT,Ontario,Current,0
C100023,41,67284,19606,15.33,632,27.4,1.0,15,F,debt_consolidation,RENT,Ontario,Current,0
C100024,55,33037,18414,12.22,679,3.6,42.7,3,E,small_business,MORTGAGE,Prairies,Current,0
C100025,27,48963,13513,6.68,657,20.5,57.7,12,B,debt_consolidation,RENT,Ontario,Current,0
C100026,42,65824,29856,10.47,728,16.9,54.0,2,C,home_improvement,MORTGAGE,Prairies,Current,0
C100027,24,122235,10647,5.01,648,11.6,69.7,15,A,credit_card,MORTGAGE,Ontario,Current,0
C100028,31,66164,20993,6.29,742,16.3,40.7,7,A,major_purchase,RENT,Prairies,Current,0
C100029,26,111600,15758,10.83,668,16.0,47.7,11,D,vacation,OTHER,West,Current,0
C100030,30,79884,30317,9.91,624,4.6,30.4,12,D,credit_card,MORTGAGE,West,Current,0
C100031,49,124534,11676,19.71,591,30.5,53.4,9,G,debt_consolidation,MORTGAGE,Ontario,Late (31-120 days),1
C100032,21,58304,12853,8.48,668,18.2,28.0,6,B,small_business,MORTGAGE,Atlantic,Current,0
C100033,30,175536,11211,7.6,643,14.3,19.5,12,B,debt_consolidation,MORTGAGE,Prairies,Current,0
C100034,53,48126,20264,9.37,661,11.2,31.7,7,C,debt_consolidation,MORTGAGE,Prairies,Current,0
C100035,28,42408,8389,9.76,641,6.2,80.1,10,B,debt_consolidation,RENT,Prairies,Current,0
C100036,47,34734,14650,6.71,742,16.6,39.6,9,A,major_purchase,RENT,Atlantic,Current,0
C100037,61,170922,2933,11.38,617,29.3,58.9,7,C,debt_consolidation,RENT,Ontario,Late (31-120 days),1
C100038,57,86574,19683,7.3,741,17.9,35.3,1,B,credit_card,MORTGAGE,West,Current,0
C100039,26,51516,14498,12.06,593,9.8,24.7,4,D,credit_card,MORTGAGE,Ontario,Current,0
C100040,27,105036,7584,10.48,649,19.6,69.1,15,C,home_improvement,RENT,Ontario,Current,0
C100041,54,81590,25599,13.34,602,20.6,17.1,8,E,debt_consolidation,OWN,Ontario,Current,0
C100042,37,145039,8846,11.89,731,25.5,35.4,10,D,major_purchase,RENT,Ontario,Current,0
C100043,40,29836,23579,7.3,720,20.7,45.4,4,B,small_business,RENT,Ontario,Current,0
C100044,43,53135,13093,14.48,624,1.0,58.5,11,E,credit_card,RENT,Ontario,Current,0
C100045,48,48624,29211,12.41,663,24.8,38.0,7,E,credit_card,MORTGAGE,West,Current,0
C100046,42,25000,23247,8.69,586,9.5,24.4,3,B,major_purchase,RENT,West,Current,0
C100047,22,96485,10944,8.37,700,6.5,33.6,2,B,small_business,MORTGAGE,Prairies,Current,0
C100048,25,53015,11580,11.76,768,18.2,28.9,6,D,credit_card,MORTGAGE,West,Current,0
C100049,21,83519,22239,6.54,731,17.9,31.5,9,A,debt_consolidation,RENT,Prairies,Current,0
C100050,33,173147,16163,7.56,706,5.0,65.0,4,B,debt_consolidation,OTHER,Ontario,Current,0
C100051,59,51074,16815,5.2,754,19.9,21.7,3,A,debt_consolidation,RENT,Ontario,Current,0
C100052,66,49537,26906,14.65,685,26.3,54.7,4,E,debt_consolidation,MORTGAGE,West,Current,0
C100053,43,63158,12759,12.7,548,19.8,63.5,4,D,debt_consolidation,RENT,West,Current,0
C100054,22,93364,18639,11.39,565,13.4,76.5,11,D,debt_consolidation,MORTGAGE,Ontario,Current,0
C100055,24,46396,24682,13.29,648,14.1,49.9,7,E,major_purchase,OWN,Ontario,Current,0
C100056,59,45074,23664,9.78,641,25.2,67.2,7,C,small_business,RENT,West,Current,0
C100057,37,96349,16883,9.34,752,7.4,40.6,2,C,major_purchase,RENT,Ontario,Current,0
C100058,62,70997,15978,7.83,707,22.5,55.2,8,A,home_improvement,RENT,West,Current,0
C100059,44,25000,5828,6.38,618,13.8,27.8,15,A,home_improvement,RENT,West,Current,0
C100060,62,34495,10606,12.02,588,18.8,9.8,11,D,debt_consolidation,OTHER,Ontario,Late (31-120 days),1
C100061,27,117660,20229,8.88,529,6.0,69.0,7,C,home_improvement,MORTGAGE,Ontario,Current,0
C100062,61,71745,17035,10.89,667,17.0,58.5,4,C,debt_consolidation,MORTGAGE,Prairies,Current,0
C100063,46,42489,18524,13.27,626,25.3,62.7,5,E,credit_card,OWN,Ontario,Charged Off,1
C100064,41,55454,25275,11.22,635,10.1,44.0,0,D,medical,OWN,Atlantic,Current,0
C100065,45,60232,9689,10.93,739,21.5,71.6,0,C,major_purchase,MORTGAGE,West,Current,0
C100066,36,83373,16347,10.46,746,18.6,35.9,12,C,debt_consolidation,RENT,Ontario,Charged Off,1
C100067,49,32493,19321,5.0,693,12.0,56.2,13,B,small_business,RENT,West,Current,0
C100068,57,41010,13071,5.81,607,21.0,66.5,15,A,debt_consolidation,RENT,Ontario,Late (31-120 days),1
C100069,59,67699,28020,10.15,714,2.6,77.8,10,C,debt_consolidation,RENT,Prairies,Current,0
C100070,66,57244,24360,7.59,733,18.9,39.5,14,B,debt_consolidation,RENT,Prairies,Current,0
C100071,40,77446,20031,10.19,697,29.3,36.5,6,C,debt_consolidation,RENT,West,Current,0
C100072,57,34431,30560,11.83,690,31.1,21.9,4,E,home_improvement,RENT,Ontario,Current,0
C100073,62,70313,7508,5.0,638,19.2,81.1,3,B,credit_card,RENT,Prairies,Current,0
C100074,21,97852,17946,5.0,834,12.9,44.4,3,A,debt_consolidation,RENT,Atlantic,Current,0
C100075,43,74538,20564,8.34,649,12.0,60.4,11,B,vacation,RENT,Prairies,Current,0
C100076,53,63742,11598,5.0,743,14.4,100.0,0,B,credit_card,RENT,Ontario,Current,0
C100077,42,57346,20105,10.99,565,23.3,65.1,15,D,credit_card,MORTGAGE,Ontario,Current,0
C100078,25,41123,10254,7.69,629,12.3,30.5,12,C,credit_card,MORTGAGE,Prairies,Current,0
C100079,51,57965,22834,13.71,719,26.3,42.9,6,E,credit_card,MORTGAGE,Ontario,Current,0
C100080,40,105542,25405,14.35,644,34.4,35.1,11,D,credit_card,RENT,Ontario,Current,0
C100081,50,56751,19906,9.74,726,17.6,38.7,2,C,home_improvement,RENT,Ontario,Current,0
C100082,21,40118,5030,13.87,649,11.6,45.0,6,E,major_purchase,RENT,Prairies,Current,0
C100083,21,47978,11232,7.01,718,5.6,35.9,1,A,debt_consolidation,RENT,Ontario,Current,0
C100084,49,65538,21953,6.03,799,20.4,14.7,1,A,credit_card,RENT,Ontario,Current,0
C100085,67,50611,18148,5.74,711,14.6,75.7,0,A,debt_consolidation,OWN,Prairies,Current,0
C100086,51,74487,2000,13.11,560,25.6,65.0,12,D,major_purchase,RENT,Ontario,Current,0
C100087,65,75757,26700,10.57,636,14.3,49.3,11,C,debt_consolidation,RENT,Prairies,Current,0
C100088,60,89326,18957,6.35,754,20.8,57.1,14,A,debt_consolidation,MORTGAGE,Ontario,Current,0
C100089,34,113619,12266,9.83,702,16.9,56.3,15,C,vacation,MORTGAGE,Ontario,Current,0
C100090,25,93727,24965,5.58,638,9.9,58.1,15,A,credit_card,RENT,Atlantic,Current,0
C100091,47,39324,13257,13.1,618,16.7,67.2,15,D,debt_consolidation,RENT,Prairies,Current,0
C100092,50,39871,13181,9.6,648,9.6,54.7,0,C,debt_consolidation,OWN,West,Current,0
C100093,57,57867,20508,9.48,682,30.4,61.6,12,B,credit_card,RENT,West,Charged Off,1
C100094,45,48873,30467,6.74,626,15.8,67.7,11,B,vacation,MORTGAGE,Ontario,Current,0
C100095,64,35873,29365,13.72,623,24.0,57.3,2,D,credit_card,MORTGAGE,Prairies,Current,0
C100096,60,49082,20518,8.57,662,12.7,47.2,2,B,debt_consolidation,RENT,Prairies,Current,0
C100097,48,48362,21237,5.0,766,7.6,70.0,15,A,credit_card,MORTGAGE,West,Current,0
C100098,46,44253,23540,6.61,769,13.4,33.6,14,A,credit_card,RENT,Atlantic,Current,0
C100099,21,51943,9201,17.22,584,31.7,64.7,5,G,debt_consolidation,RENT,Prairies,Current,0
C100100,57,101753,22509,16.04,592,18.9,64.5,1,F,major_purchase,RENT,Ontario,Current,0
C100101,52,65490,12861,11.42,666,13.4,39.9,5,D,debt_consolidation,OTHER,West,Current,0
C100102,63,182101,20229,7.84,657,17.6,37.0,0,B,major_purchase,RENT,West,Current,0
C100103,25,64649,16408,19.13,529,27.5,55.9,10,G,small_business,RENT,West,Late (31-120 days),1
C100104,27,52547,21508,14.62,584,32.5,48.8,6,E,debt_consolidation,OWN,Prairies,Current,0
C100105,52,59986,18827,10.65,623,22.0,28.2,0,D,small_business,RENT,Ontario,Current,0
C100106,43,67200,2000,8.72,616,22.5,43.3,15,C,small_business,OWN,West,Charged Off,1
C100107,48,72829,19252,8.32,711,21.5,51.9,13,B,home_improvement,MORTGAGE,Prairies,Current,0
C100108,41,152439,22495,6.41,764,6.9,65.5,14,A,credit_card,MORTGAGE,West,Current,0
C100109,51,40929,21121,15.19,527,15.8,72.4,15,F,debt_consolidation,MORTGAGE,Prairies,Charged Off,1
C100110,51,88130,17282,11.91,681,10.4,2.8,0,C,debt_consolidation,MORTGAGE,West,Current,0
C100111,29,65742,29495,8.98,690,7.2,60.4,12,B,small_business,RENT,West,Current,0
C100112,56,29525,20180,7.25,721,22.1,36.2,12,B,debt_consolidation,OTHER,West,Current,0
C100113,44,84695,21064,9.13,679,20.0,57.9,12,C,debt_consolidation,OWN,Ontario,Current,0
C100114,48,105919,25311,5.73,644,15.6,52.4,4,A,credit_card,OWN,Atlantic,Current,0
C100115,50,40712,20538,13.6,567,2.9,55.6,6,E,debt_consolidation,MORTGAGE,Ontario,Current,0
C100116,55,59634,11714,13.51,660,33.9,49.5,14,D,small_business,MORTGAGE,West,Current,0
C100117,35,27545,2000,13.18,715,13.2,46.3,1,D,major_purchase,MORTGAGE,Atlantic,Current,0
C100118,21,33980,14660,10.04,558,32.4,84.0,10,C,major_purchase,RENT,Atlantic,Current,0
C100119,29,95953,23327,12.81,677,9.4,49.6,12,D,debt_consolidation,MORTGAGE,Ontario,Current,0
C100120,66,48538,15528,10.99,745,12.3,63.8,12,C,credit_card,MORTGAGE,West,Current,0
C100121,31,36353,23608,12.07,650,4.1,69.1,9,D,major_purchase,MORTGAGE,Ontario,Current,0
C100122,32,66387,19041,6.48,754,17.5,55.5,12,A,credit_card,RENT,Atlantic,Current,0
C100123,61,47331,27016,10.71,641,10.3,20.8,14,C,home_improvement,MORTGAGE,Ontario,Current,0
C100124,32,48442,15933,6.59,717,7.5,66.7,12,A,credit_card,MORTGAGE,Ontario,Current,0
C100125,42,83508,21273,9.07,591,8.4,48.8,1,C,debt_consolidation,RENT,Ontario,Current,0
C100126,38,35498,21541,7.19,573,21.9,71.5,3,B,debt_consolidation,OWN,Atlantic,Current,0
C100127,52,39838,28511,5.65,776,20.0,24.2,4,A,home_improvement,MORTGAGE,West,Current,0
C100128,48,64173,6054,5.15,670,27.7,29.2,5,A,debt_consolidation,RENT,West,Current,0
C100129,45,92618,14791,8.23,655,13.2,87.3,5,C,major_purchase,RENT,Ontario,Current,0
C100130,44,104524,23940,6.81,648,16.5,35.1,3,A,credit_card,MORTGAGE,West,Current,0
C100131,60,44388,28821,16.42,536,13.5,82.3,10,F,debt_consolidation,RENT,Prairies,Late (31-120 days),1
C100132,48,91292,19681,8.39,670,15.7,52.6,1,C,home_improvement,OWN,Prairies,Charged Off,1
C100133,44,42072,15951,7.71,662,12.9,43.6,12,B,credit_card,RENT,West,Current,0
C100134,62,136188,23300,9.78,701,21.3,47.1,10,C,debt_consolidation,RENT,West,Current,0
C100135,25,35947,24081,6.22,749,22.1,20.5,15,A,vacation,RENT,Ontario,Current,0
C100136,60,108860,15482,16.7,610,30.9,55.3,0,G,home_improvement,MORTGAGE,Prairies,Current,0
C100137,30,44560,20312,8.38,693,12.1,29.1,4,C,credit_card,OWN,Ontario,Current,0
C100138,36,148147,26264,14.62,723,28.0,39.0,14,E,major_purchase,OWN,Prairies,Current,0
C100139,21,78127,31233,5.0,665,14.7,67.6,7,A,credit_card,MORTGAGE,Atlantic,Current,0
C100140,47,37903,23198,9.72,677,15.7,54.5,8,C,credit_card,MORTGAGE,Ontario,Charged Off,1
C100141,60,47334,18309,9.61,742,13.0,17.8,0,C,debt_consolidation,RENT,Atlantic,Current,0
C100142,38,85096,17621,15.85,684,18.6,64.7,12,F,debt_consolidation,MORTGAGE,Prairies,Current,0
C100143,52,96152,21902,10.3,602,30.2,56.0,4,C,credit_card,OWN,West,Current,0
C100144,39,57999,17190,11.92,663,20.2,41.3,15,C,credit_card,RENT,Ontario,Current,0
C100145,56,61090,19327,6.08,777,17.7,55.0,5,B,small_business,OWN,Ontario,Current,0
C100146,67,84226,10595,9.05,730,14.7,42.5,3,B,credit_card,RENT,West,Current,0
C100147,54,63533,27079,6.99,691,35.1,27.8,9,C,credit_card,RENT,Ontario,Current,0
C100148,36,33454,10019,11.67,668,27.1,83.9,7,C,major_purchase,MORTGAGE,Ontario,Current,0
C100149,59,41530,14975,5.0,703,10.0,47.4,7,A,vacation,OWN,West,Current,0
C100150,22,66556,18683,16.92,652,19.1,50.5,15,E,debt_consolidation,RENT,Ontario,Charged Off,1
C100151,67,103463,31937,15.53,600,21.0,49.0,5,F,medical,MORTGAGE,West,Charged Off,1
C100152,60,123895,15041,7.55,722,16.0,67.4,6,A,major_purchase,RENT,West,Current,0
C100153,51,85032,13338,11.3,684,13.1,39.9,9,C,debt_consolidation,MORTGAGE,Atlantic,Current,0
C100154,50,68137,14144,5.48,687,18.1,21.3,2,A,debt_consolidation,MORTGAGE,Ontario,Current,0
C100155,32,83865,29612,11.57,687,29.7,36.9,13,D,debt_consolidation,RENT,Ontario,Current,0
C100156,41,44354,2000,7.0,850,7.3,59.4,3,B,home_improvement,MORTGAGE,Ontario,Current,0
C100157,25,55885,10981,12.94,560,11.6,74.6,3,D,credit_card,MORTGAGE,Atlantic,Current,0
C100158,36,41322,37119,11.49,676,16.1,45.4,0,D,credit_card,MORTGAGE,Prairies,Charged Off,1
C100159,48,34135,22136,13.02,594,17.9,81.6,5,E,small_business,RENT,Prairies,Late (31-120 days),1
C100160,38,69571,10258,6.64,756,29.0,56.8,9,A,debt_consolidation,RENT,Prairies,Current,0
C100161,57,65087,17707,14.92,617,29.5,50.1,11,F,credit_card,OWN,Ontario,Current,0
C100162,61,81589,18472,7.61,744,23.1,41.3,14,B,major_purchase,MORTGAGE,Ontario,Current,0
C100163,47,76554,23923,6.13,789,13.1,46.5,12,A,vacation,MORTGAGE,Ontario,Current,0
C100164,37,66782,30877,9.23,691,16.0,33.8,5,C,small_business,MORTGAGE,Prairies,Current,0
C100165,35,76917,20720,7.41,764,6.3,42.7,13,B,debt_consolidation,MORTGAGE,West,Current,0
C100166,46,58735,14221,15.84,507,26.5,69.6,3,E,debt_consolidation,RENT,Atlantic,Current,0
C100167,54,72099,23510,13.75,723,24.4,15.7,3,E,debt_consolidation,MORTGAGE,Ontario,Current,0
C100168,26,43184,13112,7.57,723,25.5,42.7,5,B,credit_card,MORTGAGE,Prairies,Current,0
C100169,42,70712,10767,17.79,651,22.5,46.6,8,G,debt_consolidation,RENT,Ontario,Current,0
C100170,41,80885,5681,8.55,635,15.5,71.9,3,B,medical,RENT,Ontario,Current,0
C100171,34,44296,7044,8.76,634,19.2,20.3,14,C,home_improvement,MORTGAGE,Ontario,Current,0
C100172,32,61287,11725,8.51,710,22.7,40.3,4,B,credit_card,OWN,Prairies,Current,0
C100173,60,45224,9755,16.31,613,12.2,46.6,6,F,debt_consolidation,MORTGAGE,Ontario,Current,0
C100174,41,47244,20193,5.0,740,20.2,61.9,9,A,credit_card,RENT,West,Current,0
C100175,48,36090,9604,8.15,784,14.9,40.2,6,A,credit_card,OWN,West,Current,0
C100176,22,105831,2000,11.75,583,10.6,90.1,6,C,home_improvement,RENT,Ontario,Current,0
C100177,34,96718,10693,17.04,646,9.4,64.4,15,G,debt_consolidation,RENT,Prairies,Charged Off,1
C100178,31,76256,14697,14.65,614,21.5,47.8,6,F,major_purchase,OWN,West,Current,0
C100179,36,145436,13762,12.27,647,29.6,56.7,1,D,debt_consolidation,MORTGAGE,West,Current,0
C100180,60,54986,28637,14.29,533,34.2,55.5,11,F,debt_consolidation,OWN,Prairies,Current,0
C100181,47,220000,13705,17.64,642,25.0,68.3,11,F,vacation,MORTGAGE,Ontario,Current,0
C100182,63,54047,24166,9.44,547,31.7,36.8,3,C,debt_consolidation,MORTGAGE,Prairies,Current,0
C100183,40,67160,17867,9.95,738,16.2,30.0,13,B,debt_consolidation,RENT,Ontario,Current,0
C100184,57,50061,17704,13.01,554,27.7,68.4,6,E,home_improvement,RENT,Atlantic,Late (31-120 days),1
C100185,28,70795,12152,11.87,661,16.3,73.3,2,D,credit_card,OWN,Prairies,Current,0
C100186,59,87206,17589,9.52,695,12.9,8.8,2,B,debt_consolidation,OWN,Ontario,Current,0
C100187,49,56882,12644,5.61,788,10.3,65.4,11,A,debt_consolidation,RENT,West,Current,0
C100188,22,133189,19190,12.33,648,5.1,49.8,3,D,debt_consolidation,RENT,Prairies,Current,0
C100189,53,66677,16346,9.31,664,25.5,17.1,7,B,credit_card,RENT,West,Current,0
C100190,43,67624,11388,15.33,586,18.0,3.5,11,F,debt_consolidation,RENT,West,Current,0
C100191,21,39773,24943,6.49,772,10.9,14.5,13,B,small_business,OWN,West,Current,0
C100192,60,72282,20988,5.0,753,6.7,43.2,7,A,major_purchase,RENT,West,Current,0
C100193,46,56370,14864,14.7,615,19.6,53.9,14,E,debt_consolidation,RENT,Ontario,Current,0
C100194,49,45538,19018,6.47,711,27.3,58.5,4,A,debt_consolidation,OWN,Ontario,Current,0
C100195,48,42217,17413,7.27,638,29.7,43.3,13,A,debt_consolidation,MORTGAGE,Atlantic,Current,0
C100196,25,199246,11927,9.67,701,6.4,28.0,4,C,debt_consolidation,MORTGAGE,Ontario,Current,0
C100197,36,53180,18493,14.28,517,20.0,55.8,1,F,debt_consolidation,RENT,Ontario,Charged Off,1
C100198,53,31081,13653,5.18,743,9.3,45.0,11,B,small_business,RENT,West,Current,0
C100199,36,43730,11385,11.44,709,23.4,51.4,12,B,debt_consolidation,RENT,Ontario,Current,0
C100200,62,58501,6641,14.63,767,23.0,28.2,14,E,credit_card,RENT,Prairies,Current,0
C100201,35,76573,15490,18.16,531,19.5,78.3,14,G,home_improvement,RENT,Atlantic,Charged Off,1
C100202,42,76854,21969,10.33,674,18.5,39.0,1,C,major_purchase,RENT,Atlantic,Current,0
C100203,41,81184,13137,5.0,823,11.7,22.1,9,A,debt_consolidation,RENT,West,Current,0
C100204,21,44793,35645,5.05,790,26.3,30.7,11,A,debt_consolidation,RENT,Ontario,Current,0
C100205,59,69787,24200,10.09,664,20.3,70.3,9,B,vacation,OWN,Ontario,Current,0
C100206,27,40367,27130,6.79,736,19.7,42.6,0,A,debt_consolidation,RENT,Ontario,Current,0
C100207,43,45304,23567,11.08,658,1.0,39.0,0,D,home_improvement,RENT,West,Current,0
C100208,63,39618,30970,5.0,740,14.5,61.3,10,A,home_improvement,OWN,Ontario,Current,0
C100209,67,35074,12491,9.38,642,32.6,91.4,13,C,credit_card,RENT,Ontario,Current,0
C100210,31,96654,2000,11.62,653,28.8,55.7,2,D,debt_consolidation,MORTGAGE,Prairies,Charged Off,1
C100211,38,81624,14877,12.46,592,5.1,79.2,0,C,debt_consolidation,OWN,Ontario,Current,0
C100212,47,92920,21908,7.77,709,14.3,65.9,6,B,credit_card,MORTGAGE,West,Current,0
C100213,53,60943,19061,12.57,661,12.6,40.3,5,E,credit_card,RENT,Atlantic,Current,0
C100214,32,84928,19928,11.93,645,31.5,53.1,15,D,small_business,MORTGAGE,West,Current,0
C100215,46,27104,27246,12.32,569,21.2,35.8,14,D,home_improvement,MORTGAGE,West,Late (31-120 days),1
C100216,60,88291,20674,5.0,778,9.6,37.8,8,A,medical,RENT,Prairies,Current,0
C100217,56,64842,23592,6.48,744,15.2,33.1,15,A,vacation,RENT,Ontario,Current,0
C100218,59,79396,11423,17.45,574,4.2,51.2,3,F,small_business,RENT,Ontario,Current,0
C100219,62,71041,10332,8.17,687,8.9,35.6,15,B,debt_consolidation,MORTGAGE,West,Current,0
C100220,61,38400,29299,7.04,619,16.8,49.6,7,B,credit_card,RENT,West,Current,0
C100221,45,30512,18706,9.37,624,23.9,63.9,7,C,home_improvement,RENT,Ontario,Late (31-120 days),1
C100222,66,43459,13637,10.01,628,5.9,51.8,0,D,credit_card,MORTGAGE,Prairies,Current,0
C100223,44,77204,13650,17.84,660,21.3,17.8,2,G,debt_consolidation,OWN,West,Current,0
C100224,54,81678,13456,8.37,667,23.6,37.3,3,B,credit_card,RENT,Atlantic,Current,0
C100225,65,32352,13037,14.92,649,12.3,24.9,7,F,debt_consolidation,RENT,West,Current,0
C100226,23,38504,9018,8.33,694,16.6,52.9,3,A,debt_consolidation,RENT,Ontario,Current,0
C100227,64,43241,7497,10.95,694,18.5,57.6,1,C,major_purchase,MORTGAGE,West,Current,0
C100228,59,50981,16635,9.85,650,31.5,56.8,9,D,credit_card,MORTGAGE,Ontario,Current,0
C100229,67,32438,13850,5.0,772,13.4,27.8,13,A,credit_card,OWN,Ontario,Current,0
C100230,57,31574,25750,5.0,695,13.8,52.9,1,A,credit_card,RENT,Prairies,Current,0
C100231,28,41364,20052,11.89,594,24.0,48.4,8,C,credit_card,RENT,Ontario,Current,0
C100232,35,62244,19857,19.07,516,14.7,42.8,15,G,debt_consolidation,RENT,Atlantic,Charged Off,1
C100233,21,35198,12798,11.95,651,16.5,65.4,6,C,credit_card,RENT,Ontario,Late (31-120 days),1
C100234,49,56834,17153,16.01,545,19.3,75.6,2,F,debt_consolidation,MORTGAGE,Prairies,Current,0
C100235,41,96408,20527,13.75,659,20.0,68.5,1,E,home_improvement,MORTGAGE,Prairies,Current,0
C100236,43,33330,23013,8.5,654,23.9,40.9,14,C,debt_consolidation,RENT,Atlantic,Current,0
C100237,55,54562,17343,14.42,767,24.9,63.6,6,E,vacation,MORTGAGE,West,Current,0
C100238,59,94953,25554,5.76,628,9.8,45.1,1,A,small_business,RENT,West,Current,0
C100239,24,49602,18056,5.72,735,16.0,56.8,13,A,credit_card,MORTGAGE,West,Current,0
C100240,64,46251,23550,15.94,574,31.4,49.3,12,E,debt_consolidation,RENT,Ontario,Current,0
C100241,38,101070,14571,13.85,609,15.2,51.6,11,E,credit_card,MORTGAGE,West,Current,0
C100242,56,52167,5312,9.6,710,17.5,3.6,1,B,small_business,RENT,Prairies,Current,0
C100243,48,98422,19879,8.09,552,16.6,54.9,1,C,home_improvement,OWN,Ontario,Current,0
C100244,41,72623,23077,15.23,671,19.1,52.1,3,D,home_improvement,OWN,West,Current,0
C100245,30,51314,22027,13.55,741,9.6,37.2,2,E,major_purchase,MORTGAGE,Prairies,Current,0
C100246,29,74300,20955,12.85,633,29.4,85.2,8,D,credit_card,OWN,Ontario,Current,0
C100247,55,69162,15560,11.04,694,12.6,27.6,6,C,home_improvement,RENT,West,Current,0
C100248,36,94788,12353,7.4,758,23.7,33.0,12,B,credit_card,MORTGAGE,Atlantic,Current,0
C100249,31,46782,21862,10.98,671,13.7,34.1,1,C,home_improvement,RENT,West,Current,0
C100250,21,60995,20985,13.05,626,15.1,44.0,11,D,credit_card,OWN,Ontario,Current,0
C100251,60,58239,14074,13.14,511,29.5,82.3,14,E,small_business,RENT,Ontario,Late (31-120 days),1
C100252,39,82196,25766,9.16,715,25.0,73.4,2,C,debt_consolidation,RENT,West,Current,0
C100253,37,37747,11820,8.05,696,18.0,35.7,10,B,debt_consolidation,MORTGAGE,West,Current,0
C100254,38,94621,13915,7.86,646,21.8,39.5,8,B,debt_consolidation,RENT,Ontario,Current,0
C100255,49,73854,29455,13.67,665,17.5,30.1,1,D,medical,MORTGAGE,Prairies,Current,0
C100256,43,33103,24080,14.84,604,20.9,79.5,4,E,credit_card,RENT,West,Charged Off,1
C100257,46,103127,15494,5.92,695,10.4,68.6,12,A,credit_card,MORTGAGE,Atlantic,Current,0
C100258,34,163627,20012,6.73,757,21.3,41.3,13,A,credit_card,OWN,Ontario,Current,0
C100259,34,93979,19084,7.54,606,13.1,30.7,5,C,credit_card,MORTGAGE,Atlantic,Current,0
C100260,61,113794,2000,5.26,782,25.4,17.6,1,A,major_purchase,RENT,West,Current,0
C100261,41,62219,11655,14.35,559,18.8,62.8,3,E,vacation,RENT,West,Current,0
C100262,66,28348,17644,9.34,666,16.6,60.7,13,B,major_purchase,RENT,Ontario,Current,0
C100263,60,26112,15504,6.24,830,20.3,1.0,9,A,major_purchase,RENT,Prairies,Current,0
C100264,54,67157,19730,17.75,676,22.7,44.2,6,F,debt_consolidation,MORTGAGE,West,Current,0
C100265,46,45872,25906,7.04,729,12.9,74.7,0,A,debt_consolidation,RENT,West,Current,0
C100266,60,39674,15749,7.41,650,16.3,48.3,12,B,credit_card,RENT,West,Current,0
C100267,23,58207,10596,5.83,695,21.3,75.2,7,A,home_improvement,RENT,Ontario,Charged Off,1
C100268,44,78985,20274,6.49,728,10.4,57.3,8,A,debt_consolidation,OWN,Prairies,Current,0
