order_id,order_date,product_category,sub_category,product_name,region,customer_segment,sales,profit,quantity,discount
O400077,2024-04-14,Office Supplies,Paper,Paper Standard,Central,Consumer,481.13,99.34,7,0.0
O400078,2025-01-08,Technology,Phones,Phones Standard,East,Consumer,2108.1,188.83,4,0.15
O400079,2023-11-21,Furniture,Bookcases,Bookcases Lite,Central,Consumer,585.66,88.05,2,0.05
O400080,2023-11-15,Technology,Accessories,Accessories Max,Central,Corporate,930.99,122.71,4,0.0
O400081,2025-01-27,Furniture,Furnishings,Furnishings Pro,East,Consumer,359.2,9.59,1,0.1
O400082,2023-11-20,Furniture,Chairs,Chairs Standard,West,Consumer,1099.65,150.15,3,0.0
O400083,2023-10-21,Office Supplies,Storage,Storage Standard,East,Consumer,123.28,10.41,5,0.2
O400084,2023-01-05,Office Supplies,Appliances,Appliances Standard,East,Home Office,821.36,151.26,7,0.0
O400085,2023-09-20,Office Supplies,Appliances,Appliances Max,Central,Consumer,265.1,78.86,2,0.0
O400086,2023-07-19,Furniture,Bookcases,Bookcases Standard,East,Consumer,1915.75,79.31,6,0.05
O400087,2024-09-08,Office Supplies,Appliances,Appliances Plus,West,Corporate,336.72,61.75,3,0.0
O400088,2024-02-05,Office Supplies,Paper,Paper Pro,Central,Corporate,1059.02,256.22,7,0.0
O400089,2023-10-12,Office Supplies,Paper,Paper Max,West,Consumer,115.12,13.53,1,0.2
O400090,2025-01-17,Technology,Machines,Machines Lite,Atlantic,Corporate,339.66,3.85,1,0.2
O400091,2023-12-23,Office Supplies,Binders,Binders Max,Central,Consumer,352.23,73.69,4,0.2
O400092,2023-11-29,Furniture,Furnishings,Furnishings Max,Central,Corporate,1760.78,53.33,6,0.1
O400093,2024-07-31,Furniture,Bookcases,Bookcases Plus,East,Corporate,733.5,79.02,3,0.0
O400094,2023-07-28,Office Supplies,Storage,Storage Max,West,Consumer,53.94,4.95,1,0.3
O400095,2023-12-11,Technology,Phones,Phones Standard,Central,Consumer,433.16,92.31,2,0.15
O400096,2024-07-18,Technology,Copiers,Copiers Max,West,Consumer,1155.1,155.38,3,0.05
O400097,2023-09-15,Office Supplies,Paper,Paper Max,Central,Consumer,214.14,21.21,3,0.15
O400098,2023-12-10,Technology,Phones,Phones Max,West,Consumer,1784.95,276.46,5,0.1
O400099,2023-01-13,Furniture,Bookcases,Bookcases Max,Central,Consumer,2453.3,427.87,6,0.1
O400100,2024-09-27,Office Supplies,Appliances,Appliances Max,West,Consumer,94.61,14.36,1,0.15
O400101,2024-11-19,Office Supplies,Storage,Storage Standard,West,Home Office,603.85,63.84,6,0.2
O400102,2024-06-18,Office Supplies,Binders,Binders Lite,East,Corporate,656.85,108.09,7,0.15
O400103,2024-02-26,Office Supplies,Paper,Paper Max,Central,Home Office,419.7,6.81,3,0.2
O400104,2024-12-15,Furniture,Bookcases,Bookcases Plus,West,Consumer,881.77,34.61,2,0.1
O400105,2024-11-12,Technology,Copiers,Copiers Pro,East,Consumer,2334.01,148.76,7,0.05
O400106,2024-01-11,Technology,Copiers,Copiers Pro,Central,Consumer,3320.01,371.84,7,0.1
O400107,2024-05-09,Furniture,Chairs,Chairs Pro,East,Consumer,483.2,21.43,1,0.1
O400108,2025-01-20,Furniture,Furnishings,Furnishings Max,Central,Consumer,1104.43,-13.12,6,0.0
O400109,2023-06-10,Office Supplies,Binders,Binders Plus,West,Consumer,870.34,155.76,6,0.1
O400110,2024-09-14,Furniture,Furnishings,Furnishings Pro,West,Corporate,345.23,43.47,3,0.05
O400111,2023-10-18,Furniture,Tables,Tables Standard,West,Consumer,2082.87,177.73,7,0.05
O400112,2023-03-16,Office Supplies,Appliances,Appliances Plus,Atlantic,Consumer,194.0,13.3,2,0.15
O400113,2023-11-30,Office Supplies,Binders,Binders Plus,West,Corporate,193.22,35.41,5,0.2
O400114,2024-02-19,Office Supplies,Storage,Storage Standard,West,Consumer,828.74,260.94,5,0.0
O400115,2024-08-14,Furniture,Furnishings,Furnishings Max,West,Home Office,277.12,18.02,1,0.15
O400116,2023-05-02,Technology,Machines,Machines Pro,Central,Home Office,1985.86,322.29,7,0.0
O400117,2024-03-14,Furniture,Tables,Tables Lite,East,Consumer,2177.6,115.29,7,0.1
O400118,2024-06-13,Technology,Accessories,Accessories Standard,Central,Consumer,1326.87,134.9,3,0.2
O400119,2024-05-24,Furniture,Furnishings,Furnishings Lite,East,Home Office,377.88,9.26,4,0.2
O400120,2024-10-27,Office Supplies,Storage,Storage Standard,Central,Corporate,10.0,2.17,3,0.05
O400121,2024-08-25,Furniture,Furnishings,Furnishings Pro,Atlantic,Home Office,519.26,35.05,2,0.15
O400122,2024-01-08,Technology,Phones,Phones Plus,East,Consumer,1719.55,74.1,7,0.2
O400123,2023-08-08,Technology,Accessories,Accessories Max,Atlantic,Corporate,4317.3,599.49,7,0.0
O400124,2024-12-05,Office Supplies,Paper,Paper Standard,Atlantic,Consumer,496.1,89.78,5,0.05
O400125,2024-12-06,Technology,Accessories,Accessories Lite,West,Consumer,1186.99,152.38,3,0.15
O400126,2023-04-14,Furniture,Furnishings,Furnishings Lite,East,Consumer,1448.56,60.88,5,0.0
O400127,2023-12-29,Office Supplies,Appliances,Appliances Standard,Central,Corporate,198.25,31.44,4,0.1
O400128,2024-08-24,Technology,Copiers,Copiers Pro,Atlantic,Corporate,2419.57,370.68,6,0.05
O400129,2024-06-12,Office Supplies,Binders,Binders Pro,Central,Corporate,231.48,33.72,4,0.1
O400130,2024-11-30,Technology,Accessories,Accessories Plus,Central,Consumer,413.93,93.19,2,0.05
O400131,2023-06-24,Office Supplies,Paper,Paper Plus,West,Home Office,517.31,145.68,7,0.0
O400132,2025-01-23,Technology,Copiers,Copiers Standard,Central,Consumer,700.41,123.12,3,0.05
O400133,2023-07-06,Technology,Accessories,Accessories Plus,West,Home Office,1245.0,209.81,4,0.2
O400134,2023-03-18,Technology,Copiers,Copiers Lite,Central,Corporate,1630.7,283.61,5,0.1
O400135,2024-08-10,Office Supplies,Appliances,Appliances Lite,West,Consumer,877.36,176.97,7,0.05
O400136,2025-01-12,Furniture,Bookcases,Bookcases Plus,Central,Corporate,354.96,7.51,3,0.15
O400137,2023-10-08,Office Supplies,Appliances,Appliances Pro,Central,Corporate,218.86,43.82,2,0.0
O400138,2023-05-08,Office Supplies,Paper,Paper Lite,West,Consumer,99.78,23.85,1,0.0
O400139,2024-12-01,Office Supplies,Storage,Storage Pro,Central,Consumer,578.07,87.53,5,0.1
O400140,2023-03-18,Furniture,Tables,Tables Pro,Atlantic,Home Office,1011.17,44.65,3,0.0
O400141,2024-06-15,Furniture,Tables,Tables Max,West,Home Office,1307.83,132.05,4,0.0
O400142,2023-04-12,Office Supplies,Paper,Paper Standard,East,Corporate,399.88,78.53,6,0.15
O400143,2024-06-16,Technology,Copiers,Copiers Lite,West,Consumer,1016.71,-49.52,3,0.2
O400144,2023-04-02,Office Supplies,Storage,Storage Standard,West,Consumer,467.62,123.99,5,0.05
O400145,2023-11-01,Office Supplies,Storage,Storage Pro,Central,Consumer,332.87,74.46,2,0.05
O400146,2024-01-07,Technology,Machines,Machines Plus,West,Corporate,1853.92,172.93,5,0.15
O400147,2024-12-23,Office Supplies,Storage,Storage Max,Central,Consumer,104.83,16.71,1,0.15
O400148,2024-07-22,Technology,Copiers,Copiers Standard,West,Consumer,463.42,105.69,2,0.0
O400149,2025-01-25,Office Supplies,Appliances,Appliances Standard,West,Corporate,161.85,23.74,2,0.15
O400150,2024-03-07,Office Supplies,Binders,Binders Max,Central,Home Office,183.22,21.52,2,0.3
O400151,2023-07-26,Technology,Phones,Phones Pro,East,Consumer,2042.13,454.46,5,0.0
O400152,2023-12-06,Technology,Phones,Phones Lite,Atlantic,Consumer,1220.52,230.38,3,0.0
O400153,2024-02-16,Office Supplies,Binders,Binders Standard,West,Corporate,78.79,7.05,2,0.15
O400154,2024-03-27,Furniture,Chairs,Chairs Lite,Central,Consumer,443.35,51.03,2,0.0
O400155,2024-12-26,Furniture,Chairs,Chairs Max,Central,Consumer,1596.97,-11.28,6,0.05
O400156,2024-12-18,Office Supplies,Storage,Storage Max,Central,Consumer,545.51,77.62,4,0.2
O400157,2023-03-23,Technology,Copiers,Copiers Plus,Central,Consumer,844.97,70.99,7,0.15
O400158,2024-09-27,Technology,Copiers,Copiers Max,West,Corporate,959.47,95.21,4,0.1
O400159,2023-08-27,Office Supplies,Appliances,Appliances Plus,Central,Consumer,181.24,36.75,5,0.1
O400160,2024-04-15,Office Supplies,Appliances,Appliances Max,East,Corporate,842.1,89.67,7,0.1
O400161,2025-02-02,Office Supplies,Paper,Paper Lite,Central,Consumer,866.07,130.44,6,0.15
O400162,2024-12-06,Furniture,Chairs,Chairs Standard,West,Corporate,1675.76,5.04,6,0.2
O400163,2024-01-23,Office Supplies,Paper,Paper Lite,West,Corporate,613.03,83.36,5,0.15
O400164,2023-02-06,Technology,Machines,Machines Max,East,Home Office,1690.23,243.76,7,0.1
O400165,2025-01-31,Technology,Machines,Machines Standard,East,Consumer,2822.12,553.62,7,0.15
O400166,2024-12-26,Furniture,Chairs,Chairs Standard,West,Corporate,192.26,12.48,1,0.15
O400167,2023-11-01,Office Supplies,Binders,Binders Plus,West,Home Office,698.3,183.59,6,0.05
O400168,2023-04-20,Technology,Copiers,Copiers Plus,West,Consumer,469.16,105.45,1,0.05
O400169,2024-02-26,Furniture,Furnishings,Furnishings Plus,West,Consumer,793.23,105.88,3,0.05
O400170,2024-10-03,Furniture,Furnishings,Furnishings Lite,West,Consumer,2154.53,-47.82,6,0.1
O400171,2023-12-30,Office Supplies,Appliances,Appliances Plus,Central,Home Office,678.77,141.2,6,0.0
O400172,2023-01-17,Technology,Accessories,Accessories Max,Atlantic,Consumer,2301.12,288.72,5,0.0
O400173,2024-01-01,Office Supplies,Appliances,Appliances Pro,East,Consumer,997.1,362.13,5,0.0
O400174,2024-02-16,Furniture,Bookcases,Bookcases Pro,West,Home Office,727.95,50.82,2,0.0
O400175,2025-01-04,Furniture,Tables,Tables Max,East,Consumer,1234.93,-6.0,6,0.1
O400176,2024-10-08,Technology,Phones,Phones Lite,Central,Consumer,296.96,-9.95,1,0.15
O400177,2024-07-09,Office Supplies,Storage,Storage Plus,Atlantic,Corporate,423.01,49.99,3,0.1
O400178,2023-11-20,Office Supplies,Paper,Paper Standard,West,Consumer,139.22,21.04,1,0.15
O400179,2025-01-26,Technology,Accessories,Accessories Plus,West,Consumer,1575.64,329.88,4,0.05
O400180,2023-07-05,Furniture,Chairs,Chairs Pro,East,Consumer,858.65,-7.31,7,0.15
O400181,2023-09-21,Technology,Phones,Phones Max,East,Corporate,1667.86,272.82,7,0.15
O400182,2024-11-07,Furniture,Chairs,Chairs Plus,West,Corporate,280.17,11.72,1,0.15
O400183,2025-03-06,Office Supplies,Binders,Binders Pro,Central,Consumer,859.04,103.71,7,0.15
O400184,2024-10-13,Technology,Machines,Machines Standard,West,Consumer,1135.4,214.18,2,0.0
O400185,2024-07-20,Office Supplies,Binders,Binders Pro,West,Home Office,93.55,22.53,3,0.1
O400186,2025-01-20,Furniture,Tables,Tables Pro,Central,Consumer,687.74,32.71,2,0.15
O400187,2023-04-16,Technology,Machines,Machines Standard,Central,Home Office,2519.08,313.84,4,0.0
O400188,2024-06-19,Technology,Phones,Phones Lite,West,Home Office,68.15,13.71,1,0.0
O400189,2023-11-27,Technology,Copiers,Copiers Plus,Central,Consumer,1131.89,170.24,3,0.1
O400190,2024-04-23,Office Supplies,Paper,Paper Standard,West,Corporate,432.71,80.26,3,0.05
O400191,2023-07-18,Furniture,Tables,Tables Max,East,Home Office,752.93,53.52,6,0.2
O400192,2024-01-27,Office Supplies,Paper,Paper Standard,West,Corporate,589.2,18.0,7,0.15
O400193,2023-07-08,Technology,Copiers,Copiers Plus,West,Corporate,502.35,99.39,1,0.0
O400194,2024-05-29,Furniture,Furnishings,Furnishings Max,West,Consumer,721.86,96.89,3,0.05
O400195,2025-01-13,Furniture,Bookcases,Bookcases Pro,Central,Home Office,1609.75,-44.17,7,0.15
O400196,2023-02-17,Furniture,Chairs,Chairs Plus,Atlantic,Consumer,2103.93,-8.76,7,0.1
O400197,2025-02-06,Technology,Phones,Phones Standard,West,Corporate,892.94,160.65,4,0.1
O400198,2024-06-11,Technology,Copiers,Copiers Plus,West,Home Office,1579.0,376.94,6,0.0
O400199,2023-01-12,Office Supplies,Paper,Paper Max,East,Consumer,223.48,42.01,2,0.2
O400200,2024-04-08,Office Supplies,Binders,Binders Standard,East,Corporate,911.18,146.11,6,0.05
O400201,2023-04-21,Technology,Copiers,Copiers Pro,Central,Corporate,478.58,90.96,1,0.0
O400202,2024-10-04,Office Supplies,Paper,Paper Lite,West,Home Office,708.69,167.72,4,0.0
O400203,2023-08-11,Furniture,Furnishings,Furnishings Lite,Central,Consumer,1208.82,-48.79,4,0.15
O400204,2023-02-15,Office Supplies,Appliances,Appliances Pro,East,Corporate,355.64,63.26,2,0.1
O400205,2024-11-09,Office Supplies,Binders,Binders Lite,Atlantic,Consumer,613.82,139.3,5,0.0
O400206,2024-03-05,Technology,Machines,Machines Pro,East,Consumer,2880.02,481.73,7,0.1
O400207,2024-05-03,Office Supplies,Appliances,Appliances Standard,West,Consumer,479.27,19.85,5,0.3
O400208,2024-10-27,Technology,Copiers,Copiers Standard,West,Consumer,589.82,113.55,2,0.1
O400209,2024-03-28,Technology,Copiers,Copiers Pro,Central,Corporate,1162.49,184.86,4,0.05
O400210,2024-09-29,Office Supplies,Paper,Paper Max,East,Consumer,390.43,109.51,5,0.05
O400211,2024-04-23,Office Supplies,Paper,Paper Plus,Central,Consumer,386.64,99.49,4,0.0
O400212,2023-01-23,Technology,Phones,Phones Max,West,Consumer,1159.04,108.82,2,0.2
O400213,2025-01-30,Technology,Phones,Phones Lite,West,Home Office,2063.27,249.46,3,0.0
O400214,2025-02-06,Technology,Copiers,Copiers Pro,East,Consumer,1487.18,169.54,4,0.0
O400215,2023-08-09,Furniture,Bookcases,Bookcases Plus,West,Consumer,528.74,105.77,2,0.0
O400216,2024-06-04,Furniture,Chairs,Chairs Standard,Atlantic,Corporate,231.2,37.89,3,0.0
O400217,2023-04-09,Technology,Accessories,Accessories Pro,Central,Home Office,520.3,73.23,2,0.05
O400218,2023-08-16,Office Supplies,Storage,Storage Max,West,Corporate,68.81,6.82,1,0.2
O400219,2024-05-01,Office Supplies,Binders,Binders Pro,Central,Consumer,304.6,70.39,3,0.0
O400220,2023-10-06,Office Supplies,Binders,Binders Plus,West,Consumer,96.07,14.67,1,0.0
O400221,2025-02-14,Technology,Machines,Machines Pro,Atlantic,Consumer,2573.95,338.77,6,0.05
O400222,2023-03-04,Technology,Accessories,Accessories Lite,Central,Corporate,427.13,47.25,1,0.2
O400223,2024-07-22,Furniture,Tables,Tables Plus,East,Consumer,184.83,10.59,1,0.2
O400224,2024-05-05,Office Supplies,Binders,Binders Lite,Central,Consumer,378.74,19.54,3,0.3
O400225,2024-12-14,Office Supplies,Binders,Binders Pro,West,Consumer,672.59,201.79,5,0.0
O400226,2024-10-09,Technology,Copiers,Copiers Pro,West,Consumer,1871.96,294.36,4,0.15
O400227,2024-12-17,Office Supplies,Paper,Paper Max,West,Consumer,91.39,12.02,1,0.1
O400228,2024-09-27,Furniture,Tables,Tables Lite,East,Consumer,1107.87,62.27,3,0.0
O400229,2023-06-25,Furniture,Chairs,Chairs Pro,West,Consumer,323.29,32.24,1,0.1
O400230,2023-12-06,Furniture,Furnishings,Furnishings Lite,Atlantic,Consumer,1196.54,26.92,3,0.15
O400231,2024-07-02,Technology,Machines,Machines Max,East,Consumer,928.7,91.01,2,0.1
O400232,2025-03-10,Technology,Accessories,Accessories Plus,Atlantic,Corporate,3818.47,729.88,7,0.0
O400233,2024-11-20,Office Supplies,Binders,Binders Standard,West,Corporate,278.68,64.37,3,0.05
O400234,2024-06-03,Furniture,Furnishings,Furnishings Pro,Atlantic,Corporate,1978.91,216.88,5,0.1
O400235,2023-03-23,Technology,Copiers,Copiers Plus,Central,Consumer,464.81,84.95,2,0.0
O400236,2023-12-03,Technology,Machines,Machines Lite,Central,Corporate,1343.05,87.71,4,0.0
O400237,2024-06-05,Technology,Copiers,Copiers Lite,Central,Consumer,2745.04,419.23,7,0.15
O400238,2024-09-09,Office Supplies,Appliances,Appliances Lite,East,Consumer,71.59,12.86,1,0.0
O400239,2023-08-06,Office Supplies,Binders,Binders Max,Central,Consumer,243.68,57.37,3,0.0
O400240,2024-01-09,Furniture,Bookcases,Bookcases Max,Atlantic,Home Office,629.67,71.71,3,0.0
O400241,2024-10-19,Office Supplies,Paper,Paper Max,West,Consumer,543.62,180.59,4,0.0
O400242,2024-10-29,Furniture,Furnishings,Furnishings Plus,West,Consumer,834.35,165.11,3,0.05
O400243,2023-06-28,Office Supplies,Storage,Storage Plus,Atlantic,Consumer,954.84,116.52,7,0.15
O400244,2023-07-22,Furniture,Bookcases,Bookcases Lite,Atlantic,Corporate,436.94,-9.71,1,0.15
O400245,2023-10-26,Office Supplies,Appliances,Appliances Max,East,Consumer,262.72,41.16,2,0.0
O400246,2024-05-30,Office Supplies,Storage,Storage Pro,Central,Corporate,354.66,65.11,4,0.1
O400247,2024-06-25,Furniture,Bookcases,Bookcases Max,Atlantic,Consumer,1749.82,162.76,5,0.0
O400248,2024-08-30,Technology,Copiers,Copiers Standard,East,Consumer,288.33,35.88,1,0.0
O400249,2024-03-20,Technology,Phones,Phones Lite,West,Corporate,2094.27,165.06,6,0.15
O400250,2025-01-04,Technology,Copiers,Copiers Standard,East,Consumer,2189.46,115.08,4,0.3
O400251,2023-04-06,Technology,Accessories,Accessories Max,East,Consumer,780.29,137.4,2,0.0
O400252,2024-02-24,Furniture,Chairs,Chairs Lite,West,Corporate,874.24,18.25,3,0.15
O400253,2023-06-30,Furniture,Tables,Tables Standard,Atlantic,Home Office,277.85,21.44,1,0.05
O400254,2024-03-07,Technology,Accessories,Accessories Lite,Central,Consumer,1529.11,148.18,5,0.15
O400255,2024-12-09,Office Supplies,Paper,Paper Lite,Central,Corporate,757.07,137.13,6,0.1
O400256,2024-12-09,Technology,Accessories,Accessories Plus,Central,Consumer,1469.01,211.63,7,0.1
O400257,2025-03-02,Technology,Machines,Machines Plus,West,Corporate,1008.7,22.78,3,0.15
O400258,2024-01-27,Technology,Machines,Machines Plus,Central,Corporate,374.77,42.47,2,0.15
O400259,2024-07-09,Office Supplies,Binders,Binders Standard,Central,Corporate,388.22,20.15,3,0.3
O400260,2024-01-17,Furniture,Tables,Tables Lite,Central,Consumer,396.26,17.56,1,0.05
O400261,2023-01-08,Technology,Accessories,Accessories Max,West,Consumer,644.87,7.33,3,0.3
O400262,2023-08-15,Technology,Machines,Machines Max,Central,Corporate,125.11,20.37,1,0.15
O400263,2024-08-17,Furniture,Tables,Tables Pro,West,Corporate,326.88,36.1,1,0.1
O400264,2023-02-13,Office Supplies,Storage,Storage Plus,East,Corporate,319.04,55.79,3,0.1
O400265,2024-05-29,Furniture,Chairs,Chairs Plus,East,Consumer,2656.56,-66.03,6,0.2
O400266,2024-01-02,Furniture,Bookcases,Bookcases Plus,Atlantic,Consumer,2911.16,5.88,7,0.1
O400267,2023-11-26,Furniture,Tables,Tables Plus,East,Corporate,2519.78,120.72,7,0.05
O400268,2024-08-11,Technology,Machines,Machines Lite,West,Consumer,2396.44,432.82,7,0.0
O400269,2023-07-02,Furniture,Chairs,Chairs Plus,Atlantic,Home Office,1872.75,181.03,7,0.05
O400270,2023-07-27,Furniture,Tables,Tables Pro,Atlantic,Consumer,1713.89,149.85,5,0.0
O400271,2023-05-13,Office Supplies,Appliances,Appliances Lite,West,Corporate,269.82,71.2,2,0.0
O400272,2023-03-28,Technology,Phones,Phones Pro,Central,Consumer,1706.25,254.61,6,0.1
O400273,2023-03-08,Technology,Accessories,Accessories Max,Atlantic,Consumer,1459.56,32.75,7,0.05
